date,action,price,shares,abs_score,ref_score,final_score,pnl,pnl_pct
2022-03-29 00:00:00-04:00,BUY,29.88121223449707,6467,78.0,42.5,63.8,,
2022-03-31 00:00:00-04:00,SELL_STOP,27.78470230102539,6467,62.0,42.5,54.199999999999996,-13558.129739761353,-0.07016147527814533
2022-04-04 00:00:00-04:00,BUY,29.39409637451172,6136,78.0,47.5,65.8,,
2022-04-05 00:00:00-04:00,SELL_STOP,27.450410842895508,6136,62.0,55.0,59.199999999999996,-11926.45442199707,-0.06612503091952929
2023-01-26 00:00:00-05:00,BUY,10.887378692626953,15526,78.0,47.5,65.8,,
2023-02-02 00:00:00-05:00,SELL_PROFIT,12.917960166931152,15526,78.0,52.5,67.8,31526.807970046997,0.1865078391807323
2023-02-03 00:00:00-05:00,BUY,12.250701904296875,16243,78.0,55.0,68.8,,
2023-02-10 00:00:00-05:00,SELL_STOP,11.434626579284668,16243,78.0,50.0,66.8,-13255.511504173279,-0.06661457697586882
2023-02-13 00:00:00-05:00,BUY,11.97707462310791,15563,78.0,50.0,66.8,,
2023-02-21 00:00:00-05:00,SELL_STOP,10.728964805603027,15563,66.0,50.0,59.6,-19424.33308982849,-0.10420823588231205
2023-02-22 00:00:00-05:00,BUY,10.738565444946289,15640,66.0,55.0,61.6,,
2023-03-10 00:00:00-05:00,SELL_STOP,10.023300170898438,15640,26.0,60.0,39.6,-11186.748886108398,-0.06660715322868986
2023-03-14 00:00:00-04:00,BUY,10.935383796691895,14386,62.0,60.0,61.199999999999996,,
2023-03-21 00:00:00-04:00,SELL_PROFIT,12.423513412475586,14386,78.0,52.5,67.8,21408.232652664185,0.13608389458025894
2023-03-22 00:00:00-04:00,BUY,11.916533470153809,14908,74.0,55.0,66.4,,
2023-03-31 00:00:00-04:00,SELL_PROFIT,13.645105361938477,14908,78.0,52.5,67.8,25769.54976272583,0.1450566052714957
2023-04-03 00:00:00-04:00,BUY,13.548537254333496,14919,78.0,52.5,67.8,,
2023-04-12 00:00:00-04:00,SELL_STOP,12.616650581359863,14919,74.0,55.0,66.4,-13902.817274093628,-0.06878134926894555
2023-04-13 00:00:00-04:00,BUY,13.34091567993164,14162,74.0,55.0,66.4,,
2023-04-25 00:00:00-04:00,SELL_STOP,12.167608261108398,14162,66.0,55.0,61.6,-16616.379665374756,-0.08794804247119373
2023-04-27 00:00:00-04:00,BUY,13.369884490966797,12950,74.0,55.0,66.4,,
2023-05-18 00:00:00-04:00,SELL_PROFIT,15.431615829467773,12950,78.0,52.5,67.8,26699.420833587646,0.15420711674016038
2023-05-19 00:00:00-04:00,BUY,15.325394630432129,12953,78.0,52.5,67.8,,
2023-05-26 00:00:00-04:00,SELL_PROFIT,16.889801025390625,12953,78.0,52.5,67.8,20263.7560338974,0.102079354736615
2023-05-30 00:00:00-04:00,BUY,17.12639045715332,12715,78.0,52.5,67.8,,
2023-06-13 00:00:00-04:00,SELL_PROFIT,18.999814987182617,12715,78.0,52.5,67.8,23820.59289932251,0.10938817112200126
2023-06-14 00:00:00-04:00,BUY,19.405406951904297,12388,78.0,52.5,67.8,,
2023-06-26 00:00:00-04:00,SELL_STOP,18.120235443115234,12388,66.0,60.0,63.6,-15920.704650878906,-0.06622749587134763
2023-06-27 00:00:00-04:00,BUY,19.01631736755371,11846,74.0,60.0,68.4,,
2023-07-13 00:00:00-04:00,SELL_PROFIT,21.341285705566406,11846,74.0,60.0,68.4,27541.57493209839,0.12226175515873729
2023-07-14 00:00:00-04:00,BUY,21.321908950805664,11792,74.0,52.5,65.4,,
2023-08-03 00:00:00-04:00,SELL_STOP,20.207862854003906,11792,66.0,60.0,63.6,-13136.831573486328,-0.052248891005589944
2023-08-04 00:00:00-04:00,BUY,19.92692756652832,11991,66.0,60.0,63.6,,
2023-08-16 00:00:00-04:00,SELL_STOP,18.333351135253906,11991,42.0,55.0,47.2,-19108.5749874115,-0.07997100536217024
2023-08-29 00:00:00-04:00,BUY,20.038333892822266,11018,66.0,55.0,61.6,,
2023-09-20 00:00:00-04:00,SELL_STOP,18.34932518005371,11018,50.0,55.0,52.0,-18609.497997283936,-0.08428887959460332
2023-10-16 00:00:00-04:00,BUY,18.796512603759766,10806,70.0,55.0,64.0,,
2023-10-18 00:00:00-04:00,SELL_STOP,17.829227447509766,10806,62.0,55.0,59.199999999999996,-10452.4833984375,-0.05146088408210995
2023-11-03 00:00:00-04:00,BUY,18.266691207885742,10576,66.0,55.0,61.6,,
2023-11-14 00:00:00-05:00,SELL_PROFIT,20.872055053710938,10576,78.0,47.5,65.8,27554.328033447266,0.14262921599618752
2023-11-15 00:00:00-05:00,BUY,20.930387496948242,10480,78.0,47.5,65.8,,
2023-12-13 00:00:00-05:00,SELL_PROFIT,23.691287994384766,10480,74.0,52.5,65.4,28934.237213134766,0.13190871396141504
2023-12-14 00:00:00-05:00,BUY,23.65240478515625,10436,74.0,52.5,65.4,,
2024-01-04 00:00:00-05:00,SELL_STOP,22.364843368530273,10436,66.0,60.0,63.6,-13436.990943908691,-0.054436807940730955
2024-01-05 00:00:00-05:00,BUY,22.447839736938477,10428,66.0,60.0,63.6,,
2024-01-18 00:00:00-05:00,SELL_PROFIT,25.17204475402832,10428,74.0,60.0,68.4,28408.00991821289,0.12135711271170102
