date,action,symbol,price,shares,commission,slippage,absolute_score,reference_score,adx,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2023-05-18 00:00:00-04:00,BUY_LONG,TQQQ,15.431618690490723,9688,149.50152187347413,149.50152187347413,65.0,65.0,23.857441325099582,16.049999237060547,,,,,,
2023-06-02 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,17.778230667114258,9688,172.23549870300295,172.23549870300295,54.5,70.0,35.38523840339591,14.600000381469727,22733.97682952881,22389.505832122803,0.051531230275661415,0.15206518665923008,3.0,多單止盈: 15.2%
2023-06-13 00:00:00-04:00,BUY_LONG,TQQQ,18.99982261657715,8988,170.77040567779542,170.77040567779542,70.0,70.0,39.11404807481467,14.609999656677246,,,,,,
2023-06-26 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,18.1202335357666,8988,162.86465901947022,162.86465901947022,56.0,60.0,40.25768409718385,14.25,-7905.746658325195,-8231.475976364136,-0.014010616590763643,-0.04629459435285014,1.0,多單回落: -3.3%
2023-07-14 00:00:00-04:00,BUY_LONG,TQQQ,21.321908950805664,7642,162.9420282020569,162.9420282020569,62.5,60.0,36.253878104091875,13.34000015258789,,,,,,
2023-08-03 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,20.20786476135254,7642,154.4285025062561,154.4285025062561,36.0,60.0,28.790858678195903,15.920000076293945,-8513.525695800781,-8822.382700813294,-0.013928680632030933,-0.052248801550718094,7.0,多單回落: -3.1%
2023-08-17 00:00:00-04:00,BUY_SHORT,SQQQ,428.65838623046875,360,154.31701904296875,154.31701904296875,26.5,30.0,18.021158085618502,17.889999389648438,,,,,,
2023-08-22 00:00:00-04:00,SELL_SHORT_REEVAL,SQQQ,412.1556701660156,360,148.37604125976563,148.37604125976563,29.5,55.0,17.654696805512955,16.969999313354492,5940.977783203125,5644.2257006835935,0.013386214581128722,0.038498526086412355,3.0,空單重估賣出
2023-09-22 00:00:00-04:00,BUY_SHORT,SQQQ,429.6326599121094,372,159.82334948730468,159.82334948730468,34.0,30.0,14.183574920926983,17.200000762939453,,,,,,
2023-09-27 00:00:00-04:00,SELL_SHORT_REEVAL,SQQQ,439.7071228027344,372,163.5710496826172,163.5710496826172,28.0,50.0,18.53419090696142,18.219999313354492,-3747.7001953125,-4074.8422946777346,-0.008018708733915421,-0.02344901547448918,3.0,空單重估賣出
2023-11-14 00:00:00-05:00,BUY_LONG,TQQQ,20.872053146362305,7477,156.06034137535096,156.06034137535096,62.5,70.0,23.426713471090654,14.15999984741211,,,,,,
2023-12-18 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,24.434986114501953,7477,182.7003911781311,182.7003911781311,60.0,50.0,42.5662041664378,12.5600004196167,26640.04980278015,26274.64902042389,0.05855525116929896,0.17070352126621602,2.0,多單止盈: 17.1%
2024-02-02 00:00:00-05:00,BUY_LONG,TQQQ,27.945070266723633,6477,181.00022011756897,181.00022011756897,70.0,100.0,30.673165426885152,13.850000381469727,,,,,,
2024-04-15 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,27.32564926147461,6477,176.98823026657104,176.98823026657104,38.0,50.0,10.754679990241055,19.229999542236328,-4011.989850997925,-4365.966311531067,0.006107055039467186,-0.022165662828431538,7.0,多單回落: -3.4%
2024-04-16 00:00:00-04:00,BUY_SHORT,SQQQ,248.87750244140625,710,176.70302673339845,176.70302673339845,33.0,35.0,10.920967074522988,18.399999618530273,,,,,,
2024-04-19 00:00:00-04:00,SELL_SHORT_REEVAL,SQQQ,279.3345642089844,710,198.32754058837892,198.32754058837892,28.0,45.0,15.089331206347797,18.709999084472656,-21624.51385498047,-22021.168936157228,-0.03815834015013422,-0.12237772184630748,3.0,空單重估賣出
2024-05-15 00:00:00-04:00,BUY_LONG,TQQQ,31.098419189453125,5014,155.92747381591798,155.92747381591798,70.0,70.0,14.107633710705128,12.449999809265137,,,,,,
2024-06-13 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,35.82173538208008,5014,179.6101812057495,179.6101812057495,67.5,50.0,23.391766369910158,11.9399995803833,23682.707389831543,23323.487027420044,0.052594409094860205,0.15188283892670798,6.0,多單止盈: 15.2%
2024-06-17 00:00:00-04:00,BUY_LONG,TQQQ,37.659122467041016,4729,178.08999014663698,178.08999014663698,70.0,65.0,27.266191029064338,12.75,,,,,,
2024-06-27 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,36.88832092285156,4729,174.44486964416504,174.44486964416504,47.0,55.0,29.86502272055779,12.239999771118164,-3645.120502471924,-3994.010241760254,-0.005534423163072535,-0.020467857286479603,7.0,多單重估賣出
2024-07-11 00:00:00-04:00,BUY_LONG,TQQQ,39.02783966064453,4466,174.2983319244385,174.2983319244385,70.0,90.0,37.75694726947227,12.920000076293945,,,,,,
2024-07-18 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,35.9243049621582,4466,160.43794596099855,160.43794596099855,31.5,75.0,32.585687044452435,15.930000305175781,-13860.385963439941,-14181.261855361938,-0.0252881142181224,-0.07952104767961103,5.0,多單回落: -3.4%
2024-10-04 00:00:00-04:00,BUY_LONG,TQQQ,35.512027740478516,4529,160.8339736366272,160.8339736366272,65.0,85.0,18.47343948284955,19.209999084472656,,,,,,
2024-10-31 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,34.26858901977539,4529,155.20243967056274,155.20243967056274,35.0,75.0,17.691985739812743,23.15999984741211,-5631.533966064453,-5941.938845405579,-0.007120525527430555,-0.035014579561329494,5.0,多單回落: -3.3%
2024-12-12 00:00:00-05:00,BUY_LONG,TQQQ,43.18483352661133,3593,155.1631068611145,155.1631068611145,65.0,70.0,21.283170317750667,13.920000076293945,,,,,,
2024-12-19 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,39.933143615722656,3593,143.4797850112915,143.4797850112915,45.0,75.0,22.96215240501815,24.09000015258789,-11683.321849822998,-11970.281419845582,-0.023418741139179196,-0.07529703475376182,4.0,多單回落: -4.5%
