date,action,symbol,price,shares,position_size,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-10-02 00:00:00-04:00,SELL_LONG_STOP,TQQQ,6.809994697570801,14347,,97.70299392604828,97.70299392604828,26.0,63.0,40.800000000000004,20.559999465942383,-10033.990043640137,-10229.396031492233,-0.0317235151251866,-0.0931341278911537,5.0,多單止損: -3.2%
2019-10-03 00:00:00-04:00,BUY_SHORT,SQQQ,16921.501953125,5,0.95,84.607509765625,84.607509765625,26.0,57.0,38.4,19.1200008392334,,,,,,
2019-10-10 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16216.2265625,5,,81.0811328125,81.0811328125,54.0,57.0,55.2,17.56999969482422,3526.376953125,3364.2146875,0.014026842747311738,0.04167924292883188,2.0,空單反彈: +1.8%
2019-10-14 00:00:00-04:00,BUY_LONG,TQQQ,7.5797882080078125,13353,0.95,101.21291194152832,101.21291194152832,70.0,57.0,64.8,14.569999694824219,,,,,,
2019-11-08 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,8.791169166564941,13353,,117.38848188114166,117.38848188114166,78.0,51.0,67.2,12.069999694824219,16175.569939613342,15940.792975851058,0.053063843716261,0.1598172568037379,5.0,多單止盈: 16.0%
2019-11-11 00:00:00-05:00,BUY_LONG,TQQQ,8.754171371459961,13292,0.95,116.3604458694458,116.3604458694458,74.0,51.0,64.8,12.6899995803833,,,,,,
2019-12-20 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,10.160091400146484,13292,,135.0479348907471,135.0479348907471,74.0,51.0,64.8,12.510000228881836,18687.48902130127,18417.393151519776,0.05349298585580013,0.16060001215763883,7.0,多單止盈: 16.1%
2019-12-23 00:00:00-05:00,BUY_LONG,TQQQ,10.235281944274902,13078,0.95,133.85701726722718,133.85701726722718,74.0,51.0,64.8,12.609999656677246,,,,,,
2020-01-17 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,11.927172660827637,13078,,155.98356405830384,155.98356405830384,78.0,51.0,67.2,12.100000381469727,22126.54679107666,21814.57966296005,0.05462477192210805,0.16529986430897414,3.0,多單止盈: 16.5%
2020-01-21 00:00:00-05:00,BUY_LONG,TQQQ,11.92120361328125,12967,0.95,154.58224725341796,154.58224725341796,78.0,51.0,67.2,12.850000381469727,,,,,,
2020-01-27 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,11.0699462890625,12967,,143.54399353027344,143.54399353027344,66.0,57.0,62.400000000000006,18.229999542236328,-11038.253723144531,-11325.341710205079,-0.02319950157367928,-0.0714069947828402,4.0,多單回落: -2.9%
