Date,Close,High,Low,Open,Volume,Returns,Log_Returns,MA_50,MA_200,Vol_20,Regime,Cumulative,Peak,Drawdown,Month,Year,DayOfWeek,Quarter,Overnight_Return,Intraday_Return
2016-09-20,2.451401472091675,2.482180721379957,2.4400825839436058,2.462322672031843,75782400,0.005538719300620221,0.005523436998493548,2.3714038515090943,2.039134236574173,0.4120102293651752,Bull,11.896817017886645,12.277479830429742,-0.03100496338015753,9,2016,1,3,0.010018478950797993,-0.0044353244455798135
2016-09-21,2.5226902961730957,2.5340089587406593,2.4402813335736937,2.4821810875885846,138600000,0.02908084411836187,0.02866601947848234,2.379319043159485,2.039407275915146,0.42444471507035336,Bull,12.242786499088481,12.277479830429742,-0.0028257697687495698,9,2016,2,3,0.012555926006949436,0.016320005332030485
2016-09-22,2.581666946411133,2.5925881476867714,2.56081649199686,2.5699505958728643,78100800,0.023378474292902407,0.02310938364497956,2.388711633682251,2.04012611746788,0.424236131990877,Bull,12.529004168530914,12.529004168530914,0.0,9,2016,3,3,0.018734087086101026,0.0045589788990823
2016-09-23,2.535200357437134,2.574914642809002,2.5234842342016566,2.573525006421677,73065600,-0.01799867680011702,-0.018162623174522993,2.3963170528411863,2.0406116318702696,0.43013011770490656,Bull,12.303498671874207,12.529004168530914,-0.01799867680011703,9,2016,4,3,-0.0031537530434644356,-0.014891889097215838
2016-09-26,2.4722518920898438,2.5004491245104785,2.459939918701021,2.4915131833979367,81883200,-0.024829779296388854,-0.0251432378854992,2.402905750274658,2.041350327730179,0.4408511339923758,Bull,11.998005515278157,12.529004168530914,-0.04238155292393196,9,2016,0,3,-0.017232237251402438,-0.007730760341321696
2016-09-27,2.542348861694336,2.546915231250294,2.459939685308635,2.4694712488741537,82900800,0.0283534901232243,0.027958969913561768,2.4100425148010256,2.0422746968269347,0.4513437889236826,Bull,12.338190846153987,12.529004168530914,-0.01522972774294328,9,2016,1,3,-0.0011247410608065112,0.029511423894247546
2016-09-28,2.5562491416931152,2.5608166484109645,2.517527029166066,2.551483472586194,75696000,0.005467495121623589,0.005452602628598898,2.417910032272339,2.044076759815216,0.44940227582528836,Bull,12.405649844414995,12.529004168530914,-0.009845501083457844,9,2016,2,3,0.003592980896323761,0.0018678032439265468
2016-09-29,2.502037763595581,2.557837507482851,2.468479015925866,2.545327373204968,114830400,-0.02120739219559309,-0.021435499746586623,2.4232119607925413,2.045361531972885,0.4573297732679899,Bull,12.142558362723287,12.529004168530914,-0.030844095876211973,9,2016,3,3,-0.004272575904284981,-0.01700748204930458
2016-09-30,2.5534684658050537,2.5788864255561172,2.5125629352631598,2.525073071019047,79987200,0.020555525962790977,0.0203471123341483,2.4298085975646972,2.046712826490402,0.4619300569937138,Bull,12.39215503640295,12.529004168530914,-0.01092258652700326,9,2016,4,3,0.009206618604494121,0.011245375475232189
2016-10-03,2.547710418701172,2.5552558145491644,2.5149456797327745,2.54473184738594,81758400,-0.0022549904888159444,-0.002257536808539641,2.4357737731933593,2.047530951499939,0.46109878594224124,Bull,12.36421084465993,12.529004168530914,-0.01315294668708754,10,2016,0,4,-0.0034214710446244245,0.001170485337498972
2016-10-04,2.5332138538360596,2.5844460978915778,2.5054140825067908,2.5657804300095846,112204800,-0.005690036339570548,-0.005706286267447817,2.441409316062927,2.04877303481102,0.45779592894263027,Bull,12.293858035643701,12.529004168530914,-0.018768142282036184,10,2016,1,4,0.007092647255265705,-0.01269265904152339
2016-10-05,2.5596249103546143,2.5844461105288565,2.5526744561748624,2.556248878074268,68856000,0.010425908763510128,0.010371933811209263,2.447422161102295,2.050774667263031,0.45899354551761523,Bull,12.422032677874869,12.529004168530914,-0.008537908457619118,10,2016,2,4,0.009093201587906385,0.0013206978042332729
2016-10-06,2.5556533336639404,2.5721353528341697,2.519314171940564,2.550093424649231,74529600,-0.0015516244878721608,-0.0015528295037972953,2.45247389793396,2.052435747385025,0.4538923802254023,Bull,12.40275834778273,12.529004168530914,-0.01007628531765329,10,2016,3,4,-0.003723782209973492,0.002180276597307129
2016-10-07,2.5389726161956787,2.57332628673766,2.5024352965395296,2.563794723120681,90561600,-0.006526987541126017,-0.006548381467043464,2.4566916179656983,2.0538029301166536,0.35063507426974677,Bull,12.321805698571154,12.529004168530914,-0.016537505070050192,10,2016,4,4,0.0031856392060296557,-0.009681784076218225
2016-10-10,2.5844461917877197,2.6047007953536734,2.5751139256337243,2.5765035620125216,59889600,0.017910226877585256,0.017751728461333147,2.4615129899978636,2.0551383411884308,0.31096234040152704,Bull,12.542492034174087,12.542492034174087,0.0,10,2016,0,4,0.014781941946691024,0.003082716396089147
2016-10-11,2.477613687515259,2.582262745981613,2.44345908146185,2.5790848757194564,129643200,-0.041336710592748904,-0.042215371686949645,2.4634630060195923,2.0559634172916414,0.33718941329301644,Bull,12.024026670845574,12.542492034174087,-0.041336710592748925,10,2016,1,4,-0.002074454513813939,-0.03934387315419052
2016-10-12,2.472449779510498,2.4954847887726035,2.447231348432064,2.480194245796786,82056000,-0.0020842264598317506,-0.002086401482485015,2.466382040977478,2.0567656564712524,0.33569374691012754,Bull,11.998965876304474,12.542492034174087,-0.043334781986600894,10,2016,2,4,0.0010415498971978465,-0.0031225240923821174
2016-10-13,2.4434585571289062,2.463514086595724,2.3763401517713025,2.420821235878551,104428800,-0.011725707281031839,-0.011794995555256975,2.468280415534973,2.0568957221508026,0.2958918777439494,Bull,11.858269514763839,12.542492034174087,-0.05455235829897051,10,2016,3,4,-0.020881533796884066,0.009351091652225918
2016-10-14,2.4490184783935547,2.508392417717354,2.4468336930455483,2.476421695158139,81811200,0.0022754309658443717,0.0022728460931944355,2.469868998527527,2.0573623728752137,0.2960330736637331,Bull,11.885252188419061,12.542492034174087,-0.0524010574584594,10,2016,4,4,0.01349036100205625,-0.011065650417359185
2016-10-17,2.4321401119232178,2.461131356898651,2.4224092489742777,2.448422831707302,55862400,-0.006891890207953222,-0.006915748967765157,2.4697498512268066,2.0581814920902253,0.29326907332639063,Bull,11.803340335242641,12.542492034174087,-0.058931805331628284,10,2016,0,4,-0.00024321853489783773,-0.006650289146638233
2016-10-18,2.4944918155670166,2.5304344217396775,2.4921088677958783,2.5169309752864257,76968000,0.025636559069162512,0.02531345306724069,2.4710326290130613,2.060005397796631,0.3066354827268499,Bull,12.105937366960518,12.542492034174087,-0.03480605497090242,10,2016,1,4,0.034862655711129786,-0.00891528609236314
